url|id_auteur|auteur|sexe|pays|haiku
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1277&lg=f|bilq-b|Bill Bilquin|H|Belgique|haïku\\écrit dans le métro\\illisible
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2243&lg=f|bala-i|Israel Balan|H|Mexico|place vide --\\il n'y a plus\\de lumières de Noël
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=738&lg=f|tuga-f|Francis Tugayé|H|France|Au premier matin\\de l'année, une lanterne\\luit sur le sentier.
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1659&lg=f|bala-i|Israel Balan|H|Mexico|lavant mes vêtements\\quelqu'un me regarde\\croissant de lune
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7307&lg=f|hoar-v|Vincent Hoarau|H|France|un galet rond -\\avant que vienne la nuit\\quelques ricochets
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5324&lg=f|macr-c|Carole MacRury|F|USA|étable silencieuse...\\la force soudaine\\de la pisse du cheval
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6366&lg=f|serj-d|David Serjeant|H|UK|grandir sa poupée favorite maintenant vit seule
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3742&lg=f|kolo-a|Angelika Kolompar Renville|F|Canada|gris et pluvieux\\je vais avec ma mère\\à la maison de retraite
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=50&lg=f|rais-c|Carol Raisfeld|F|USA|carrefour\\le coeur brun\\d'une pomme
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1683&lg=f|asun-i|Isabel Asunsolo|F|France|Juno Beach-\\mon corps dans la mer,\\ma mère au bord
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=977&lg=f|bilq-b|Bill Bilquin|H|Belgique|fraîcheur d'automne\\donner à manger à un enfant\\de quatre-vingts ans
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5844&lg=f|mena-pd|Paul David Mena|H|USA|sirènes de police --\\une autre nuit\\sans lune
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5686&lg=f|dufl-m|Michel Duflo|H|France|à califourchon\\sur ma motocyclette\\le vent d'hiver
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7066&lg=f|hoar-v|Vincent Hoarau|H|France|rêve de neige -\\dans l'air froid du matin\\une flûte de pan
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7296&lg=f|junc-m|Monique Junchat|F|France|Ascension\\un busard plane\\derrière le tracteur
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5353&lg=f|macr-c|Carole MacRury|F|USA|nettoyage de printemps . . . \\je peins sur\\les moustiques de l'an dernier
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1023&lg=f|dudo-d|Denise Dudon|F|France|devant le poteau\\plus rien ni personne\\la gerbe
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6007&lg=f|quin-p|Philippe Quinta|H|France|hall d'aéroport -\\ils poussent les chariots\\de l'apocalypse
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6277&lg=f|rais-c|Carol Raisfeld|F|USA|husband gone-\\his watch ticks it's last tock\\at her garage sale
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2304&lg=f|quin-p|Philippe Quinta|H|France|Dans le sable humide\\l'empreinte d'un seul pied nu -\\Printemps précoce
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7432&lg=f|creu-c|Coralie Berhault Creuzet |F|France|nuit des étoiles -\\sur son dos nu\\la voie lactée
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5404&lg=f|serj-d|David Serjeant|H|UK|day long weeding\\the last dandelion\\under my bench
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6506&lg=f|darn-b|Brian Austin Darnell|H|USA|entre Cassiopée\\et moi -\\les feux d'artifices!
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5944&lg=f|hoar-v|Vincent Hoarau|H|France|l'heure du loup -\\les femmes de ménage\\s'enfoncent dans la nuit
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5787&lg=f|mair-ma|Marie-Alice Maire|F|France|Blanche\\comme un linceul\\la piste noire
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2606&lg=f|macr-c|Carole MacRury|F|USA|poires d'hiver --\\manger autour\\des coups
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1768&lg=f|sprite| sprite|?|England|vente de l'Aïd\\l'épicier Sikh\\ouvert plus tard que d'habitude
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7998&lg=f|jerb-r|Rachida Jerbi|F|Tunisie|matin d'été_\\la brise des dunes\\a un goût de figues mûres
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5231&lg=f|cham-d|Dominique Champollion|?|France|Naissance du jour\\un avion silencieux\\traverse la lune
