http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4596&lg=f | William Sorlien | USA | (roues de médecine\\des cairns de pierres des champs apparaissent\\dans le brouillard froid du printemps)
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6961&lg=f | Marie Derley | Belgique | Hiver sans congés –\\au creux du coquillage\\le bruit de la mer
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7846&lg=f | Meryem Lahlou | Maroc | Coucher de soleil\\Quelque chose du jour\\Dans le pot de jasmin
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2228&lg=f | Paul David Mena | USA | une semaine avant Noël\\un chien à trois pattes\\sniffe la poubelle
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=642&lg=f | Angelika Kolompar Renville | Canada | Plumeria is a white and yellow flower and grows on trees in Hawaii and has a wonderful scent. The flowers are used to make the lei they wear like a necklace
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6887&lg=f | Karyn Louryan  | Belgique | jour amer ...\\cannelle girofle et muscade\\relèvent les chicons
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2423&lg=f |  anna | France | chaleur écrasante\\les girolles\\sous la mousse
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5734&lg=f | Michel Duflo | France | aube d'hiver -\\urgence absolue\\d'un second café
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3879&lg=f | Bill Bilquin | Belgique | matin de mars\\regarder vers l'est\\fukushima
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5239&lg=f | Daniel Py | France | une fesse après l'autre\\elle me précède\\gare Saint-Lazare
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3935&lg=f | Angelika Kolompar Renville | Canada | Cancer clinic visit\\a bald woman passes by\\with a smile\\visite à la clinique du cancer\\une femme chauve passe\\avec un sourire
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2839&lg=f | Philippe Quinta | France | le vent se lève -\\le tas de cendres chaudes\\se ranime
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4531&lg=f | Damien Gabriels | France | première neige -\\des traces de pas\\de poubelle à poubelle
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6865&lg=f | Bill Bilquin | Belgique | dans la grisaille\\la bouteille de rosé\\du sans-abri
