,url,id_auteur,auteur,sexe,pays,haiku
78,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4531&lg=f,gabr-d,Damien Gabriels,H,France,première neige -\\des traces de pas\\de poubelle à poubelle
79,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6865&lg=f,bilq-b,Bill Bilquin,H,Belgique,dans la grisaille\\la bouteille de rosé\\du sans-abri
80,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2255&lg=f,py-d,Daniel Py,H,France,dimanche 7/1/7\\le couteau à cheval\\sur la fève
81,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4701&lg=f,cohe-m,Martin Cohen,H,USA,après la pluie une rue d'hiver pleine de lunes
82,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5602&lg=f,mena-pd,Paul David Mena,H,USA,fumeurs agglutinés --\\une autre conversation\\sur le Cloud
83,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4853&lg=f,mcdo-j,John McDonald,H,Scotland(UK),JOUR DE VENTE -\\un lever anticipée\\pour le sans-abri
84,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2379&lg=f,cham-d,Dominique Champollion,?,France,suivant le cercueil\\il lui raconte à l'oreille\\son dernier voyage
85,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7913&lg=f,masm-s,Sarra Masmoudi,F,Tunisie,grand ciel sans fin~\\le nichoir vide
86,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3171&lg=f,sorl-w,William Sorlien,H,USA,entre le bourdonnement\\des tondeuses\\une odeur de pluie
87,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7451&lg=f,masm-s,Sarra Masmoudi,F,Tunisie,pluie de fin d'été~\\tous ces vieux objets\\dans la cave
88,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7652&lg=f,poir-j,Jimmy Poirier,H,Canada,sur la terrasse\\mon café miroitant\\sucrer le ciel
89,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1850&lg=f,asun-i,Isabel Asunsolo,F,France,porte entrouverte -\\les guirlandes s'illuminent\\une seconde
90,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1930&lg=f,cayr-a,André Cayrel,H,France,plage naturiste.je sors de l'eau devant elle\\diminué par le froid
91,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6229&lg=f,alsa-m,Mohamad Alsari,H,Syria,La cour de la prison\\dans la flaque de la pluie\\la lune
92,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3208&lg=f,holl-m,Mark Holloway,H,UK,demi-lune\\la glace craque\\sous les pas
93,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=896&lg=f,flip-r,Rob Flipse,H,theNetherlands,soûl sur le perron\\de la fausse maison\\la clef en main
94,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=391&lg=f,flip-r,Rob Flipse,H,theNetherlands,les jours rétrécissent\\la petaside desséchée\\n'est plus aussi grande
95,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7336&lg=f,masm-s,Sarra Masmoudi,F,Tunisie,souks de la médina~\\dans chaque boutique\\le salut d'un chat
96,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5760&lg=f,mena-pd,Paul David Mena,H,USA,occupying Wall Street\\les fantômes\\de mes rêves de retraite
97,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=735&lg=f,supo-l,Lucia Supova,F,Luxembourg,rideau à moitié\\meubles d'une chambre éclairée\\-- traits gris de la demi-lune
98,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7796&lg=f,dumo-g,Gérard Dumon,H,France,temps glacial\\le four libère l'odeur\\de chocolat
99,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1762&lg=f,vand-g,Guy Vanden Broeck,H,Belgique,Sur le sol trempé\\des centaines de bogues -\\aucune étoile.
100,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1201&lg=f,vanm-r,Robert Van Muylder,H,Belgique,Bouton du gilet\\Petit bruit sur l'asphalte\\Lune si proche
101,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3065&lg=f,sorl-w,William Sorlien,H,USA,retour du froid\\les mélodies dissonnantes\\du camion du marchand de glace
102,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3567&lg=f,mena-pd,Paul David Mena,H,USA,encore la pluie --\\une souris prise au piège\\entre les murs
